Question,Answer
What is family law in Sri Lanka?,"Family law in Sri Lanka refers to the legal rules and principles that govern family relationships, including marriage, divorce, child custody, adoption, and inheritance. The Family Law Act, the Matrimonial Rights and Inheritance Ordinance, and other specific acts regulate these issues in Sri Lanka."
What is the legal age for marriage in Sri Lanka?,"The legal age for marriage in Sri Lanka is 18 years for both men and women. However, with parental consent, a person who is 16 or 17 years old can get married. It is important to note that child marriages are not legally permissible."
What are the grounds for divorce in Sri Lanka?,"In Sri Lanka, divorce can be filed on the grounds of adultery, cruelty, desertion, or prolonged separation (usually over two years). The court also considers the best interest of children when determining the conditions of a divorce."
What is the procedure for filing for divorce in Sri Lanka?,"To file for a divorce, one must submit a petition to the relevant Family Court. The petition should state the grounds for divorce and any related issues such as child custody or property distribution. The court will then examine the case and may order counseling, mediation, or hearings before making a final decision."
How is child custody decided in Sri Lanka during a divorce?,"In Sri Lanka, the court prioritizes the welfare of the child when deciding custody arrangements. Generally, mothers are granted custody of young children, but fathers may also be awarded custody based on the circumstances. The court considers factors such as the child’s age, the ability of each parent to care for the child, and the child’s own preferences if they are old enough to express them."
Can a spouse claim maintenance after divorce in Sri Lanka?,"Yes, a spouse can claim maintenance after a divorce, especially if they are financially dependent on the other spouse. The court considers the financial status and needs of both spouses before making a decision on alimony or spousal support."
What is the legal process for adoption in Sri Lanka?,"The legal process for adoption in Sri Lanka involves submitting a petition to the Court of Appeal or District Court. The petitioner must provide evidence of their ability to care for the child. The process includes assessments, background checks, and the consent of the biological parents (if applicable). After approval, the court grants an adoption order."
Can a person adopt a child without being married in Sri Lanka?,"Yes, under certain conditions, an unmarried individual can adopt a child in Sri Lanka. However, they must demonstrate the ability to provide for and care for the child. The process is similar to that for married couples, including assessments by the authorities and approval from the court."
How is property divided in a divorce in Sri Lanka?,"In Sri Lanka, the property acquired during the marriage is generally considered joint property. In the case of divorce, the court will divide the property fairly between the spouses, taking into account factors such as contributions to the marriage, the welfare of any children, and the financial status of both parties."
". What is a prenuptial agreement, and is it valid in Sri Lanka?","A prenuptial agreement is a contract signed before marriage that outlines the division of property and assets in the event of a divorce. In Sri Lanka, prenuptial agreements are recognized, but they must be fair and cannot contravene the legal rights of the parties involved."
. What rights does a spouse have regarding inheritance in Sri Lanka?,"In Sri Lanka, a surviving spouse has inheritance rights under the law. If a person dies intestate (without a will), the spouse is entitled to a share of the deceased’s property. The specific share depends on the presence of other heirs such as children or parents."
. Can a child’s name be changed legally in Sri Lanka?,"Yes, a child’s name can be changed legally in Sri Lanka with the consent of both parents. If there is a dispute, the matter can be taken to court. The court will determine if the name change is in the best interest of the child."
". What is domestic violence, and how is it addressed under Sri Lankan family law?","Domestic violence refers to any form of physical, emotional, or psychological abuse between family members, typically spouses or intimate partners. In Sri Lanka, the Prevention of Domestic Violence Act provides legal protection to victims, including restraining orders and support for relocation and legal aid."
. Can a person get a restraining order in cases of domestic violence in Sri Lanka?,"Yes, under the Prevention of Domestic Violence Act, a person who is experiencing domestic violence can apply for a restraining order from the court. This order prevents the abuser from contacting or approaching the victim."
. What is the legal process for changing a child’s guardianship in Sri Lanka?,"Changing a child’s guardianship in Sri Lanka requires an application to the Family Court. The court will assess whether the change is in the best interest of the child. The biological parents’ consent is typically required, but the court can override this if it deems the change necessary for the child’s well-being."
". What is a marriage contract, and is it recognized in Sri Lanka?","A marriage contract in Sri Lanka refers to an agreement between two parties outlining the terms of their marriage, including property division and financial arrangements. Such contracts are recognized, provided they comply with Sri Lankan law and are not deemed unfair or unjust by the court."
. Can a foreign marriage be recognized in Sri Lanka?,"Yes, a marriage that took place abroad can be recognized in Sri Lanka, provided it was legally conducted under the laws of the country where it occurred. The marriage must be registered with the Sri Lankan authorities to ensure its recognition."
. What are the child support laws in Sri Lanka?,"Under Sri Lankan family law, both parents are legally obligated to support their children, financially and emotionally. If a parent is unable to provide adequate support, the court can order child maintenance payments from the non-custodial parent."
. Can a child be married in Sri Lanka?,"No, child marriage is prohibited in Sri Lanka under the Marriage Registration Ordinance, and the legal age for marriage is 18 years. Any marriage involving a person under the age of 18 is considered illegal."
. What happens if a spouse does not comply with a court order in Sri Lanka?,"If a spouse does not comply with a court order, such as a child custody or alimony order, the other party can file a contempt of court petition. The court may take enforcement actions, including fines, property seizure, or imprisonment, to ensure compliance."
. What is the legal procedure for a marriage to be annulled in Sri Lanka?,"In Sri Lanka, a marriage can be annulled if it is deemed void or voidable under specific grounds such as fraud, coercion, lack of consent, or if one party is found to be incapable of consummating the marriage. To annul a marriage, one must file a petition in the District Court. The court will examine the evidence before making a ruling."
. What is the difference between legal separation and divorce in Sri Lanka?,"Legal separation is a formal process where a married couple lives separately but remains legally married. In contrast, divorce is the formal dissolution of a marriage. Legal separation can be a temporary measure while divorce is a permanent end to the marriage. Legal separation may involve decisions on custody and support, just like divorce."
. Can a father claim custody of his child in Sri Lanka if the mother is unfit?,"Yes, a father can claim custody of his child if he can prove that the mother is unfit to care for the child. The court will consider various factors, including the mother's mental and physical health, her ability to care for the child, and the father's ability to provide a stable environment."
. What is the law regarding child maintenance in Sri Lanka?,"Under Sri Lankan law, both parents are obligated to provide financial support for their child’s needs, including education, healthcare, and daily living expenses. The non-custodial parent typically pays child maintenance, and the amount is decided by the court based on the financial situation of both parents."
. What happens if a parent refuses to allow visitation by the other parent in Sri Lanka?,"If a parent refuses to allow visitation by the other parent, the aggrieved parent can file a petition with the Family Court. The court will intervene to enforce visitation rights and may impose penalties if the parent fails to comply with the court order."
. Can a child choose which parent to live with in Sri Lanka?,"Yes, in Sri Lanka, a child can express their preference for which parent they wish to live with once they reach a certain age, typically 14 years old. However, the court will ultimately decide based on the best interest of the child, considering the child's welfare and the circumstances of each parent."
. How are dowries handled in Sri Lanka?,"In Sri Lanka, dowries are typically given by the bride’s family to the groom’s family. However, the practice of demanding dowries has been criticized. If there is a dispute over dowry, the issue may be resolved in court, with the dowry being returned to the bride or her family if it was taken unfairly."
. What is the legal process for a spouse to claim property in a divorce in Sri Lanka?,"In Sri Lanka, both spouses are entitled to share in the property acquired during the marriage. The spouse seeking property claims must file a petition with the Family Court, which will assess the contributions made by both parties to the acquisition of property. The court will divide the property fairly based on these contributions."
